short_name,character,unicode,search_keyword
heart,,0xe000,"heart,medical"
quarter,,0xe001,"calendar,time,date,quarter,schedule"
year,,0xe002,"calendar,time,date,year,schedule"
equalizer,,0xe003,"equalizer,sliders,adjust"
component,,0xe004,"status,done,completed,accept,approve,correct,checkmark,tick,affirmative"
component-private,,0xe005,"plus,add"
raw-material,,0xe006,"barrel,raw,material"
sms,,0xe007,"sms,mobile,message,phone,speech,bubble,text"
add-note,,0xe008,"add,plus,additional,more,another,note,info,draft"
change-time-horizon,,0xe009,"change,arrow,time,clock,time horizon"
table-chart-customization,,0xe00a,"wrench,control,customize,configuration,tools,settings,table,chart"
delegated-important-task,,0xe00b,"flag,arrow,task,delegate,important"
forklift,,0xe00c,"forklift,transport"
coins,,0xe00d,"coins,money,cash"
filter-menu,,0xe00e,"filter,organise,aggregate,data,menu"
target-to-date,,0xe00f,"date,target,calendar,arrow"
program,,0xe010,"planning,scheduling,program,project,scheduling,shape,gantt,chart,display,analytics"
phase,,0xe011,"planning,scheduling,program,project,scheduling,shape,gantt,chart,display,analytics,chevron"
checklist,,0xe012,"planning,scheduling,program,project,scheduling,shape,gantt,chart,display,analytics,checklist"
mirrored-task,,0xe013,"planning,scheduling,program,project,scheduling,shape,gantt,chart,display,analytics,mirrored task"
sub-project,,0xe014,"planning,scheduling,program,project,scheduling,shape,gantt,chart,display,analytics,sub project"
checklist-item,,0xe015,"planning,scheduling,program,project,scheduling,shape,gantt,chart,display,analytics,checklist item"
adhoc-analysis,,0xe016,"magnifier,glass,search,adhoc analysis,analytics,exclamation,status"
change-analysis,,0xe017,"magnifier,glass,search,change analysis,analytics"
review-demands,,0xe018,"magnifier,glass,search,review demands,clipboard,task,arrow"
project-definition,,0xe019,"shape,gantt,chart,display,analytics,triangle,project,definition,planning,scheduling"
data-access,,0xe01a,"arrow,data,access"
define-shortage,,0xe01b,"define,shortage,chart,measurement"
review-supplies,,0xe01c,"magnifier,glass,search,review,supplies,supply,analytics"
change-log,,0xe01d,"change,log,time,clock"
priority-1,,0xe01e,"high priority,exclamation,alert,warning,status"
priority-2,,0xe01f,"high priority,exclamation,alert,warning,status,multiple"
jam,,0xe020,"jam,message,speech,bubble,text,conversation,social,comment,discussion"
milestone,,0xe021,"badge,insignia,star,prize,award,achievement,milestone"
bulleting-with-numbers,,0xe022,"bullet,text,dots,rich text"
decrease-indent,,0xe023,"text,rich text,decrease indent,paragraph,move left,align,arrow,outdent"
increase-indent,,0xe024,"text,rich text,increase indent,paragraph,move left,align,arrow,indent"
bold,,0xe025,"text,rich text,style,text decoration,format,bold,fat,weight"
italic,,0xe026,"text,rich text,style,text decoration,format,italic,slanted,leaning"
strike-through,,0xe027,"text,rich text,style,text decoration,format,strike through,crossed out"
underline,,0xe028,"text,rich text,style,text decoration,format,underline"
save-as,,0xe029,"save as,diskette,pencil,floppy disc"
segmentation,,0xe02A,"segmentation,hierarchy,map,org,tree,overview,data"
context-menu,,0xe02B,"menu,options,context,button,corner,triangle"
snapshot,,0xe02C,"snapshot,arrows,x,cancel,remove,delete,close"
subtraction-b-a,,0xe02D,"circles,subtraction,analytics,analyze objects,filter,segmentation,segment,target group,b-a"
subtraction-a-b,,0xe02E,"circles,subtraction,analytics,analyze objects,filter,segmentation,segment,target group,a-b"
intersection,,0xe02F,"circles,intersection,analytics,analyze objects,filter,segmentation,segment,target group"
union,,0xe030,"circles,intersection,analytics,analyze objects,filter,segmentation,segment,target group,union,merge,combine"
top,,0xe031,"arrow,top"
bottom,,0xe032,"arrow,bottom"
page-up,,0xe033,"arrows,page up"
page-down,,0xe034,"arrows,page down"
create-dashboard,,0xe035,"create,new,plus,dashboard,page,file"
excelsius-file,,0xe036,excelsius file
open-folder,,0xe037,"arrow,open,folder"
neutral,,0xe038,neutral
split-segmentation,,0xe039,"split,separate,divide,arrows,segmentation,segment,target group"
manage-budget,,0xe03A,"arrows,money,manage,budget"
blocked,,0xe03B,blocked
pipette,,0xe03C,"pipette,eye dropper,sample"
top-recipe,,0xe03D,"recipe,bowl,mortar,star,top,important"
recipe,,0xe03E,"recipe,bowl,mortar"
ingredients,,0xe03F,ingredients
multiple-charts,,0xe040,"analytics,chart,display,data,multiple charts"
descending-bars,,0xe041,"analytics,chart,display,data,descending bars"
descending-stacked-bars,,0xe042,"analytics,chart,display,data,descending stacked bars"
scatter-plot,,0xe043,"analytics,chart,display,data,scatter plot"
spill,,0xe044,"spill,hazard"
fire,,0xe045,"fire,hazard"
stratification,,0xe046,"analytics,chart,display,data,stratification"
relationship,,0xe047,"analytics,chart,display,data,relationship"
margin-decomposition,,0xe048,"analytics,chart,display,data,margin decomposition"
control-group,,0xe049,"control group,people"
bullet-chart,,0xe04A,
responsible-area,,0xe04B,"responsible area,person,people"
increase,,0xe04C,"increase,arrow,up,raise"
decrease,,0xe04D,"decrease,arrow,down,lower"
current-stock,,0xe04E,"current stock,diamond"
