unicode,character,short_name,search_keyword
&#xe677,,accept,"shaking hands, two hands, accept, &#xe677"
&#xe6e8,,account,"account, account perspectives, perspectives, abacus, &#xe6e8"
&#xe685,,activities,"activities, beach ball, activity, &#xe685"
&#xe706,,add_row_column,"add row column, column, row, add, &#xe706"
&#xe7b5,,add-difference-marker,"add cgr, compound growth rate, add difference marker, difference marker, add, difference, marker, cgr, &#xe7b5"
&#xe7bc,,advanced-filter,"complex filters, filter, advanced filter, advanced, &#xe7bc"
&#xe705,,agenda,"agenda, boardroom, presentation, list, &#xe705"
&#xe638,,alert,"alert, warning, &#xe638"
&#xe798,,alias,"alias, &#xe798"
&#xe65a,,all-borders,"all borders, all, border, boarders, all-borders, &#xe65a"
&#xe715,,all-data,"all data, all, data, all-data, &#xe715"
&#xe6b3,,allocation,"three arrows, planning, allocation, &#xe6b3"
&#xe6cc,,allocation-options,"options, allocation, allocation options, menu, &#xe6cc"
&#xe776,,analytic-hub,"analytics hub, analytic-hub, hub, analytic, cloud, analytics-hub, analytic hub, &#xe776"
&#xe756,,annotation,"pen tool, annotation, annotation mode in online meeting, found in online meeting, &#xe756"
&#xe7ca,,app-outline,"app, outline, shapes, circle, triangle, square, app design, element side panel, element, &#xe7ca"
&#xe7fb,,apply-down,"apply down, check, check mark, apply down check, apply-down, &#xe7fb"
&#xe679,,approval,"approval, approve, check, mark, check mark, &#xe679"
&#xe6d0,,archive,"box, archive, &#xe6d0"
&#xe65b,,area,"chart, area chart, chart widget, area, chart area, &#xe65b"
&#xe75a,,arrorw-down,"arrow, down arrow, down, arrow down, arrow-down, &#xe75a"
&#xe628,,ascending,"ascending, &#xe628"
&#xe78c,,assign,"assign, circle, square, square and circle, circle and square, circle with arrow, circle pointing at square, &#xe78c"
&#xe7d9,,assignees-done,"assignee, assignees, done, checkmark, people, users, multi users, &#xe7d9"
&#xe828,,association,"association, Datasphere, &#xe828"
&#xe61d,,attachment,"attachments, paper clip, &#xe61d"
&#xe61e,,attachment-options,"attachment-options, attachment, options, &#xe61e"
&#xe829,,authorization-scenario,"key, authorization scenario, authorization, scenario, &#xe829"
&#xe7ed,,auto-load-filter,"auto load, auto load filter, filter, load, auto, &#xe7ed"
&#xe66b,,auto-sync,"auto, auto sync, sync, syncronize automatically, syncronize, automatically, &#xe66b"
&#xe804,,backspace,"backspace, arrow, left arrow, left, keyboard back, back, &#xe804"
&#xe6ef,,banknote,"money, $, banknote, money bill, paper bill, bank note, &#xe6ef"
&#xe664,,bar-columns,"chart, bars, bar, vertical, vertical bar chart, column chart, bar-columns, &#xe664"
&#xe663,,bar-rows,"chart, bars, rows, horizontal bar chart, horizontal bars, chart widget, bar-rows, &#xe663"
&#xe710,,bar-width,"bar, width, bar width, &#xe710"
&#xe752,,bar-with-pointer,"bar-with-pointer, bar with pointer, bar and pointer, bar, pointer, &#xe752"
&#xe750,,bars-overlapping-1,"bars-overlapping-1, bar, bars, overlapping, versions, chart, &#xe750"
&#xe751,,bars-overlapping-2,"bars, overlapping, bars overlapping, overlapping bars, bars-overlapping-2, &#xe751"
&#xe753,,bars-side-by-side,"bar, side by side, bars, bars side by side, side, ibsc bar layout, &#xe753"
&#xe6e4,,base_map,"base, map, base map, geo base map, base map style, map style, map style for geo, geo chart map, &#xe753"
&#xe6a8,,beginning,"arrows, arrow, beginning, go to beginning, &#xe6a8"
&#xe84c,,binary,"binary, &#xe84c"
&#xe7a0,,binoculars,"binoculars, &#xe7a0"
&#xe6d7,,blending,"blend, blending, &#xe6d7"
&#xe704,,boardroom,"boardroom, &#xe704"
&#xe64d,,bold,"bold, text, bold text, &#xe64d"
&#xe777,,book,"file repo store, book, boc content delivery service, &#xe777"
&#xe6d2,,bookmark,"bookmark, later, marker, save, &#xe6d2"
&#xe786,,books,"books, book, book shelf, three books, &#xe786"
&#xe7e5,,boolean,"boolean, 10, 1, &#xe7e5"
&#xe84a,,boolean-circles,"boolean-circles, boolean, &#xe84a"
&#xe6bd,,bottom-aligned-object,"bottom aligned object, bottom aligned, bottom-aligned, aligned-object, aligned object, bottom, aligned, object, &#xe6bd"
&#xe658,,bottom-border,"bottom border, bottom, border, bottom-border, &#xe658"
&#xe77c,,box-bottom-border,"box-bottom-border, box bottom border, border, bottom border, &#xe77c"
&#xe779,,box-left-border,"box left border, left border, box, border, left-border, &#xe655"
&#xe77e,,box-left-right-border,"box, left, right, border, box left right, left and right border, &#xe77e"
&#xe778,,box-no-border,"box, no border, box no border, no border box, &#xe778"
&#xe77f,,box-outside-border,"box-outside-border, box, outside, border, box outside, outside border, &#xe77f"
&#xe66a,,box-plot,"box plot, chart, boxplot, chart widget, box-plot, chart type, &#xe66a"
&#xe77b,,box-right-border,"box, box right border, right border, box-right, right-border, &#xe77b"
&#xe77a,,box-top-border,"box, top, border, box top border, top border, box-top-border, &#xe77a"
&#xe77d,,box-top-bottom-border,"box, top, bottom, border, box top bottom border, &#xe77d"
&#xe800,,bpc-planning-sequence,"bpc, planning, sequence, bpc planning sequence, planning sequence, bpc-planning-sequence, &#xe800"
&#xe720,,break-axis,"axis, break, break axis, break-axis, &#xe720"
&#xe6bf,,bridge,"bridge, waterfall, chart, chart type, &#xe6bf"
&#xe6b7,,bring_backward,"bring, backwards, bring backwards, bring_backwards, &#xe6b7"
&#xe6b5,,bring_forward,"bring_forward, bring, forward, &#xe6b5"
&#xe6b6,,bring_to_back,"bring to back, back, styling, bring-to-back, bring to, &#xe6b6"
&#xe6b4,,bring_to_front,"bring to front, bring_to_front, bring to, front, place object in front, &#xe6b4"
&#xe711,,broken-scale,"compare, law, justice, scale, measure, weight, balance, comparison, uneven scale, uneven, broken, &#xe711"
&#xe6fb,,bubble,"bubble, bubble chart, chart, chart type, &#xe6fb"
&#xe835,,bullet-chart,"bullet, chart, bullet-chart, chart type, &#xe835"
&#xe832,,business-card,"business-card, business card, card, business, business layer, layer, &#xe832"
&#xe7ea,,business-content,"business, business-content, content, breifcase, business content, &#xe7ea"
&#xe84e,,business-entity,"datasphere, business, entity, build, wrench, circle, triangle, shapes, &#xe84e"
&#xe7d7,,busy-indicator,"busy, indicator, loading indicator, loading, bubble loading, three dot loading, busy-indicator, &#xe7d7"
&#xe7c8,,button,"button, add button, button component, app design, &#xe7c8"
&#xe722,,calculate,"calculate, plus and minus, calculation, calculation node type, calculation node type in vdt, vdt, &#xe722"
&#xe7bb,,calculation-swap,"calculation, swap, swap calculations, calculation-swap, swap-calculations, formula, &#xe7bb"
&#xe61a,,calendar,"calendar, date, date picker, month, week, day, appointment, &#xe61a"
&#xe7d4,,calendar-today,"calendar, today, calendar today, calendar with arrow, &#xe7d4"
&#xe615,,cancel,"cancel, close control, decline action, xe615, &#xe615"
&#xe7f7,,canvas,"canvas, blank canvas, blank story, stories, &#xe7f7, "
&#xe822,,carousel,"carousel, image, placeholder, picture, hills, mountains, sun, viewer, lightbox, images, &#xe822"
&#xe837,,catalog,"catalog, &#xe837"
&#xe738,,cell-height,"cell height, cell, height, cell-height, to edit heigth of cell, &#xe738"
&#xe6a2,,cell-reference,"cell, reference, cell reference, &#xe6a2"
&#xe739,,cell-width,"to edit width of cell, cell width, width, cell, to edit width, width of cell, &#xe739"
&#xe792,,center,"center, center view, place view in center, center objects in view, center the view, &#xe792"
&#xe652,,centered,"centered, &#xe652"
&#xe830,,chart-table,"chart table, chart, table, view, views, view icon in file repo, &#xe830"
&#xe635,,charts,"chart, pie, bar, bar chart, &#xe635"
&#xe7c7,,checkbox,"checkbox, checkboxes, checkbox widget, checkbox control, &#xe7c7"
&#xe6da,,circle,"circle, markers, marker, xe6da"
&#xe71b,,clear-filter,"clear filter, filter, clear, clear-filter, filter clear, delete filter, remove filters, remove filter, &#xe71b"
&#xe7e3,,close-up,"close-up, search, stars search, search to insights module, 'show together' feature (data wrangling), &#xe7e3"
&#xe6f8,,cloud,"cloud, platform, storage, big data, sap, &#xe6f8"
&#xe75e,,cluster,"cluster, cluster geo points on map, cluster geo points, &#xe75e"
&#xe7c0,,clustering,"clustering, clustering node type, predictive pro, cluster, &#xe7c0"
&#xe701,,code,"code, brackets, &#xe701"
&#xe660,,collaps-all,"collaps, collapse, all, collapse all, collaps all, &#xe660"
&#xe65e,,color,"color, circle, &#xe65e"
&#xe83d,,color-fill-square,"color, square, fill, &#xe83d"
&#xe690,,color-picker,"color, color picker, picker, color-picker, &#xe690"
&#xe6d3,,color-picker-options,"color, picker, options, color picker options, picker options, color options, &#xe6d3"
&#xe70c,,color-transparent,"no color, color, transparent, color transparent, transparent color, &#xe70c"
&#xe694,,color-white,"color, white, white color, color-white, white-color, &#xe694"
&#xe83e,,color-white-square,"color, square, white, stroke, &#xe83e"
&#xe646,,columns,"column, columns, &#xe646"
&#xe6fd,,combined_bar_line,"bar line, chart, combined bar line, horizontal chart"
&#xe6ab,,combined_column_line,"combined column line, vertical chart, &#xe6ab, combined, column, line, &#xe6ab"
&#xe66f,,comment,"comment, &#xe66f"
&#xe7ef,,comment-indicator,"comment,indicator, &#xe7ef"
&#xe7f0,,comment-indicator-filled,"comment-indicator-filled, comment indicator filled, comment, indicator filled, &#xe7f0"
&#xe614,,completed,"completed, partially completed, partially, check mark, check, accept, approve, correct, checkmark, tick, affirmative, &#xe614"
&#xe791,,conditional_formatting,"conditional_formatting, conditional formatting, formatting, conditional, &#xe791"
&#xe75c,,connection,"connection, connections, &#xe75c"
&#xe6ca,,connections,"connection, connections, &#xe6ca"
&#xe82a,,consumption-model,"consumption model, model, consumption, consumption-model, &#xe82a"
&#xe645,,contextual-chart,"geo contextual chart, tooltip chart, chart in popup, chart in popup for geo, contextual chart, contextual-chart, &#xe645"
&#xe66e,,conversations,"conversations, &#xe66e"
&#xe72b,,convert,"convert cell, convert, circle to triangle, row format, numeric to text, &#xe72b"
&#xe60d,,copy,"copy, copy an object, document, file, duplicate, text, &#xe60d"
&#xe7dd,,copy-data,"copy, copy data, data, &#xe7dd"
&#xe7f4,,copy-data-2,"copy, data, copy data, copy-data, &#xe7f4"
&#xe60e,,copy-options,"copy, copy options, copy-options, &#xe60e"
&#xe6e7,,cost_pool,"cost_pool, cost pool, money, $, money bag, bag of money, &#xe6e7"
&#xe6f1,,cross_table,"cross table, table, planning, &#xe6f1"
&#xe841,,css-editor,"css, editor, css editor, e841, &#xe841"
&#xe696,,currencies,"$, currency/currencies, currency, currencies, &#xe696"
&#xe724,,customise,"customise, wrench, builder, builder panel, stories builder panel, custom logic, &#xe724"
&#xe729,,cut,"sissors, cut, &#xe729"
&#xe63d,,dashboards,"smart discovery, smart, discovery, dashboard, dashboards, &#xe63d"
&#xe68a,,data,"data, &#xe68a"
&#xe6cd,,data-changes,"dataset, data, pencil, data change, data changes, data-changes, &#xe6cd"
&#xe82d,,data-flow,"data flow, data, dataflow, instance, process, clock, chevron, &#xe82d"
&#xe7cd,,data-save,"data-save, data save, save data, save, data, &#xe7cd"
&#xe7a3,,data-set,"data set, data, &#xe7a3"
&#xe819,,data-space-management,"data space management, data, space, management, dwc, data space management (datasphere), &#xe819"
&#xe852,,datasphere,"data warehouse, dwc, data, house, data-warehouse, datasphere, &#xe852"
&#xe818,,data-warehouse,"data warehouse, dwc, data, house, data-warehouse, &#xe818"
