short_name,character,unicode,categories,search_keyword
accidental-leave,,/e000,medical,"accidental,leave,medical,cross,plus,emergency,hospital"
account,,/e001,people,"user,menu,settings,person,account"
wrench,,/e002,actions,"wrench,control,configuration,settings,tool"
windows-doors,,/e003,objects,"window,door,entry"
washing-machine,,/e004,objects,"washing,machine,laundry,clean,wash,purify"
visits,,/e005,"actions,arrows,people","user,arrow,door,visit,login,entry"
video,,/e006,"actions,devices,objects","camera,recorder,video,movie,clip"
travel-expense,,/e007,"money,transport","plane,dollar,money,trip,expense,travel,holiday,flight,budget,billing,invoice,cost,payments"
temperature,,/e008,"objects,charts,medical","temperature,hot,heat,cold,cool,illness,sickness,health,medical"
task,,/e009,clipboards,"clipboard,task,checkbox,checklist,list,checkmark"
synchronize,,/e00a,"actions,arrows","synchronize,reload,refresh,arrow"
survey,,/e00b,form,"survey,form,checklist,list,checkbox,checkmark,x"
settings,,/e00c,actions,"cogwheels,configuration,settings,tools,modify,customize"
search,,/e00d,actions,"search,magnifier,glass"
sales-document,,/e00e,"documents,money","document,page,file,text,sales,money"
retail-store,,/e00f,"shopping,places","shop,store,retail,market"
refresh,,/e010,"actions,arrows","reload,refresh,arrow"
product,,/e011,objects,"product,commodity,goods,stock,merchandise,package"
present,,/e012,time,"time,clock,star,current,present"
ppt-attachment,,/e013,documents,"document,page,file,attachment,ppt,powerpoint"
pool,,/e014,"objects,places","pool,basin,swim"
pie-chart,,/e015,charts,"analytics,chart,display,data,pie,segments"
picture,,/e016,objects,"picture,photo,photograph,shot,image"
photo-voltaic,,/e017,objects,"photovoltaic,voltaic,electricity,power,solar,panel,sun"
phone,,/e018,"actions,devices,objects","phone,telephone,landline,number,call,dial"
pending,,/e019,time,"time,clock,pend,pending,awaiting,unresolved,unsettled"
pdf-attachment,,/e01a,documents,"document,page,file,attachment,pdf"
past,,/e01b,time,"time,clock,past,bygone,former,late"
outgoing-call,,/e01c,actions,"call,communicate,phone,telephone,outgoing,arrow"
opportunity,,/e01d,objects,"chart,line,star,opportunity,stock,market,exchange,trade"
opportunities,,/e01e,people,"user,person,dollar,equal to,opportunity"
notes,,/e01f,actions,"notes,marks,info,draft"
money-bills,,/e020,money,"money,cash,payment,bills,dollar"
map,,/e021,"objects,places","map,pin,loaction,place,area"
log,,/e022,actions,"log,logout,log on,log off"
line-charts,,/e023,charts,"analytics,chart,display,data"
lightbulb,,/e024,objects,"lightbulb,light,lamp,idea"
leads,,/e025,people,"user,person,leads,star,equal to"
lead,,/e026,money,"money,dollar,currency,payment"
laptop,,/e027,"devices,objects","laptop,device,computer"
kpi-managing-my-area,,/e028,people,"user,person,kpi,checkmark,equal to"
kpi-corporate-performance,,/e029,objects,"chart,line,kpi,checkmark,performance"
incoming-call,,/e02a,actions,"call,communicate,incoming,phone,telephone,arrow"
inbox,,/e02b,"actions,arrows","inbox,in,arrow"
horizontal-bar-chart,,/e02c,charts,"analytics,chart,display,data,bar,horizontal"
history,,/e02d,time,"time,clock,history,past,chronicle"
heating-cooling,,/e02e,objects,"temperature,air conditioning,ac,heat,cold,sun,snowflake"
gantt-bars,,/e02f,"calendars,objects","calendar,gantt,bars,gantt bars,chart,schedule"
future,,/e030,time,"time,clock,arrow,future,hereafter"
fridge,,/e031,objects,"fridge,refrigerator,icebox,freezer,cooler,appliance"
fallback,,/e032,folder,"folder,fallback,marked,object,directory,library"
expense-report,,/e033,"documents,money","expense,report,documents,money,dollar"
excel-attachment,,/e034,documents,"document,page,file,attachment,excel,spreadsheet,accounting"
energy-saving-lightbulb,,/e035,objects,"lightbulb,light,lamp,idea,eco,energy saving"
employee,,/e036,people,"user,person,employee,member,operator,representative"
email,,/e037,"actions,objects","envelope,email,e-mail,electronic mail,mail,correspondence"
edit,,/e038,actions,"pencil,pen,write,edit,modify,text"
duplicate,,/e039,"actions,arrows","duplicate,objects,arrow"
download,,/e03a,arrows,"download,arrow"
doc-attachment,,/e03b,documents,"document,page,file,attachment,word,text"
dishwasher,,/e03c,objects,"dishwasher,dish,wash,appliance"
delete,,/e03d,actions,"bin,trash can,rubbish,delete"
decline,,/e03e,actions,"reject,close,remove,cancel,x"
complete,,/e03f,actions,"complete,checkmark,tick,affirmative,enter,finish"
competitor,,/e040,objects,"competitor,winner,prize,award,trophy,cup"
collections-management,,/e041,"money,objects","calculator,counting,simulate,collections management,total,accounting"
chalkboard,,/e042,objects,"chalkboard,education,teaching,learning,classroom,school,college"
cart,,/e043,shopping,"cart,trolley,basket,shopping"
card,,/e044,objects,"image,placeholder,picture,hills,mountains,sun,card"
camera,,/e045,"actions,objects","camera,photograph,device,image,snap shot"
calendar,,/e046,calendars,calendar
begin,,/e047,arrows,"begin,start,arrows"
basket,,/e048,shopping,"basket,shopping"
bar-chart,,/e049,charts,"analytics,chart,display,data,column"
attachment,,/e04a,actions,"attach,file,paper clip"
arrow-top,,/e04b,arrows,"arrow top,up"
arrow-right,,/e04c,arrows,arrow right
arrow-left,,/e04d,arrows,arrow left
arrow-bottom,,/e04e,arrows,"arrow bottom,down"
approvals,,/e04f,form,"form,details,text,approvals,accepted,checkmark"
appointment,,/e050,calendars,"date picker,calendar,month,week,day,appointment"
alphabetical-order,,/e051,actions,"function,alphabet,letters,a to z,descending,sorting,order"
along-stacked-chart,,/e052,charts,"analytics,chart,display,data,bar"
alert,,/e053,status,"message,warning,critical,notifications,status"
addresses,,/e054,objects,"customers,contacts,addresses,email,e-mail,directory,companies,houses,homes"
address-book,,/e055,objects,"customers,contacts,addresses,email,e-mail,directory,companies,@,at"
add-filter,,/e056,actions,"filter,organise,aggregate,data,add,plus,additional,another,more"
add-favorite,,/e057,actions,"favorite,favourite,star,add,plus,additional,another,more"
add,,/e058,actions,"add,plus,additional,another,more,add row,add object,add item"
activities,,/e059,actions,"activities,tasks,to do,list"
action,,/e05a,actions,"actions,collection,share options,forward actions,more actions,arrow"
accept,,/e05b,actions,"accept,approve,correct,checkmark,tick,affirmative"
hint,,/e05c,"actions,text","information,hint,about,details"
group,,/e05d,people,"group,team,people,communication,collaborate,teamwork,peer to peer,design thinking,work,together,project,customers,audience,category"
check-availability,,/e05e,calendars,"date picker,calendar,month,week,day,appointment,search,look up,check,availability,find"
weather-proofing,,/e05f,objects,"weather,proofing,protection"
payment-approval,,/e060,"actions,money","sales,simple payment,money,bill,details,quote,accept,approval,checkmark"
batch-payments,,/e061,"folder,money","folder,open,money,documents,payments,bills"
bed,,/e062,objects,"bed,sleep,ill,hospital,sick,medical,tired,snooze,night"
arobase,,/e063,objects,"at,@,email,address"
family-care,,/e064,people,"family,protection,people,family"
favorite,,/e065,actions,"favorite,favourite,star,full,filled,starred"
navigation-right-arrow,,/e066,"actions,arrows","navigation,right,expand,collapsed tree,tree arrow,arrow"
navigation-left-arrow,,/e067,"actions,arrows","navigation,left,arrow"
e-care,,/e068,objects,"e care,digital customer care,service,electronic,leaf,leaves,nature,organic,health,environment"
less,,/e069,actions,"less,minus,subract"
lateness,,/e06a,objects,"time,timer,waiting,lateness,loading,hour glass,sand,out of time"
lab,,/e06b,objects,"lab,chemicals,liquid,mixture,chemistry,science,laboratory"
internet-browser,,/e06c,objects,"screen,internet,website,browser,web app,globe,www,html"
instance,,/e06d,time,"instance,process,clock,chevron"
inspection,,/e06e,"actions,documents","search,document,inspect"
image-viewer,,/e06f,"actions,objects","image,placeholder,picture,hills,mountains,sun,viewer,carousel,lightbox"
home,,/e070,"actions,places","home,house,index,landing page,start,main"
grid,,/e071,objects,"grid,layout,boxes,sqaures,modular,waffle"
goalseek,,/e072,objects,"goal,goalseek,target,result,objective,aim"
general-leave-request,,/e073,"actions,places","holiday,vacation,leave,request,deck,chair,sun,create"
create-leave-request,,/e074,"actions,places","holiday,vacation,leave,request,deck chair,sun,create,add,plus,additional,another,more"
flight,,/e075,transport,"plane,trip,travel,holiday,flight,Aeroplane,transit,shipment"
filter,,/e076,actions,"filter,organise,aggregate,data"
favorite-list,,/e077,actions,"favorite,favourite,star,menu,list"
factory,,/e078,"objects,places","factory,production,supplier,manufacturing"
endoscopy,,/e079,"medical,objects","endoscopy,medical,procedure"
employee-pane,,/e07a,people,"user,person,employee,member,operator,representative,profile,me"
employee-approvals,,/e07b,"people,status","person,accept,approval,employee,hr,human resources"
email-read,,/e07c,actions,"mail,letter,e-mail,envelope,open,read"
electrocardiogram,,/e07d,medical,"electrocardiogram,heart,scan,monitor,medical"
documents,,/e07e,documents,"document,page,file,attachment,documents"
decision,,/e07f,people,"hand shake,decision,hands,agreement,colleagues,contract"
